Index,PartNumber_TLN_BOM,PartNumber_BOM_BOM,Match,Component,Description,End of Prod,Status,Life__Years,EOSL,flag_raise_in_gp,Remark
200,,CKB06823,exact,MoldedBreaker,"3P,250A,600V,AIC200K, 120VST       ",,Active,14,,TRUE,Molded Breaker
201,,CKB07270,exact,MoldedBreaker,"3P125A,600V,AIC35K,120VST,1A/1B AUX",,Active,14,,TRUE,Molded Breaker
202,,CKB07271,exact,MoldedBreaker,"3P 125A, 600V, AIC35K, NO SHUNT    ",,Active,14,,TRUE,Molded Breaker
203,,CKB07376,exact,MoldedBreaker,"SQ D,3P80A,600V 35KAIC,W/1A1B AUX  ",,Active,14,,TRUE,Molded Breaker
204,,CKB07377,exact,MoldedBreaker,"SQ D,3P80A,600V 35KAIC,NT          ",,Active,14,,TRUE,Molded Breaker
205,,CKB07378,exact,MoldedBreaker,"SQ D,3P80A,600V 35KAIC,W/1A1B AUX, ",,Active,14,,TRUE,Molded Breaker
206,,CKB07417,exact,MoldedBreaker,"SQD,3P,80A,480V,AIC65K,120VST      ",,Active,14,,TRUE,Molded Breaker
207,,CKB07418,exact,MoldedBreaker,"SQD,3P,50A,480V,AIC65K,120VST      ",,Active,14,,TRUE,Molded Breaker
208,,CKB07553,exact,MoldedBreaker,"3P,250A,600V,100% RATED,MG,NT      ",,Active,14,,TRUE,Molded Breaker
209,,CKB07611,exact,MoldedBreaker,"3P,1200A,25k/600V,GE,80%,Lugs",,Active,14,,TRUE,Molded Breaker
210,,CKB07640,exact,MoldedBreaker,"GE,3P,600V,200AMP MAIN BREAKER     ",,Active,14,,TRUE,Molded Breaker
211,,CKB07645,exact,MoldedBreaker,"SQD,3P,175A,600V,35K,W/1A1B AUX    ",,Active,14,,TRUE,Molded Breaker
212,,CKB07646,exact,MoldedBreaker,"SQD,3P,250A,600V,35K,W/1A1B AUX    ",,Active,14,,TRUE,Molded Breaker
213,,CKB07686,exact,MoldedBreaker,"GE,3P,600A,600V,250AMP,MAIN BREAKER",,Active,14,,TRUE,Molded Breaker
214,,CKB07856,exact,MoldedBreaker,"SWITCH,1600A, 3P, UL, MASTERPACT NW",,Active,14,,TRUE,Molded Breaker
215,,CKB07858,exact,MoldedBreaker,"SWITCH,1600A, 3P, UL, MASTERPACT NW",,Active,14,,TRUE,Molded Breaker
216,,CKB07898,exact,MoldedBreaker,"SQD,3P,600A,600V,65KAIC,W/AUX      ",,Active,14,,TRUE,Molded Breaker
217,,CKB07899,exact,MoldedBreaker,"SQD,3P,600A,600V,65KAIC            ",,Active,14,,TRUE,Molded Breaker
218,,CKB07911,exact,MoldedBreaker,"SQD,3P,110A,600A,120VST,W/AUX      ",,Active,14,,TRUE,Molded Breaker
219,,CKB07919,exact,MoldedBreaker,"PLG,RATING,3P,225A,F-FRM,GE,600V",,Active,14,,TRUE,Molded Breaker
220,,CKB07920,exact,MoldedBreaker,"GE-SFHA,3P,480V,250AF,LSI,35K,80%  ",,Active,14,,TRUE,Molded Breaker
221,,CKB07925,exact,MoldedBreaker,"SQD,3P,200A,600V,100KAIC,120VAC ST ",,Active,14,,TRUE,Molded Breaker
222,,CKB07951,exact,MoldedBreaker,"SQD,3P,225A,600V,400AF I-LINE PB   ",,Active,14,,TRUE,Molded Breaker
223,,CKB07957,exact,MoldedBreaker,"GE,3P,250A,600V,MAIN BRKR,TFJ      ",,Active,14,,TRUE,Molded Breaker
224,,CKB07970,exact,MoldedBreaker,"SQD,3P,175A,600V,35K AIC W/O SHUNT ",,Active,14,,TRUE,Molded Breaker
225,,CKB08040,exact,MoldedBreaker,"GE,3P,225A,600V,MAIN BRKR,TFJ      ",,Active,14,,TRUE,Molded Breaker
226,,CKB08064,exact,MoldedBreaker,"SQD, 3P200A,600V35KA1C,W/1A1BAUX,  ",,Active,14,,TRUE,Molded Breaker
227,,CKB08065,exact,MoldedBreaker,"SQD,3P225A,600V,35KA1C,W/1A1BAUX   ",,Active,14,,TRUE,Molded Breaker
228,,CKB08107,exact,MoldedBreaker,"SQD, 3P125A,600V,120VST,1A/1B AUX  ",,Active,14,,TRUE,Molded Breaker
229,,CKB08123,exact,MoldedBreaker,"SQD, 3P100A,600V,NT,KA FRAME       ",,Active,14,,TRUE,Molded Breaker
230,,CKB08161,exact,MoldedBreaker,"GE,MC CKB,3P,125A,240V,22KAIC      ",,Active,14,,TRUE,Molded Breaker
231,,CKB08182,exact,MoldedBreaker,"CRADLE,3P,SQD,250-1200A,600V",,Active,14,,TRUE,Molded Breaker
232,,CKB08228,exact,MoldedBreaker,"SQD,3P,480V,65KAIC,200A,N/ST       ",,Active,14,,TRUE,Molded Breaker
233,,CKB08230,exact,MoldedBreaker,"CB,3P,600V,35KAIC,60-150MG,N/ST    ",,Active,14,,TRUE,Molded Breaker
234,,CKB08231,exact,MoldedBreaker,"CB,3P,600V,65KAIC,160-400A,MG,W/ST ",,Active,14,,TRUE,Molded Breaker
235,,CKB08232,exact,MoldedBreaker,"CB,3P,600V,65KAIC,100-250A,MG,W/ST ",,Active,14,,TRUE,Molded Breaker
236,,CKB08233,exact,MoldedBreaker,"CB,3P,600V,65KAIC,60-150A,MG,W/ST  ",,Active,14,,TRUE,Molded Breaker
237,,CKB08245,exact,MoldedBreaker,"SQD,3P,250A,600V,35K AIC W/O SHUNT ",,Active,14,,TRUE,Molded Breaker
238,,CKB08290,exact,MoldedBreaker,"SQD,3P,125A,600V,35K,120VST,2A2B AU",,Active,14,,TRUE,Molded Breaker
239,,CKB08342,exact,MoldedBreaker,"SQD-LCL,3P,500A,600V,65KAIC/480V   ",,Active,14,,TRUE,Molded Breaker
240,,CKB08400,exact,MoldedBreaker,"3P,2000A,18k/600V,SQD,80%,NoTerm",,Active,14,,TRUE,Molded Breaker
241,,CKB08422,exact,MoldedBreaker,"CB,3P,600V,65KAIC,400A,MG, AUX/ST  ",,Active,14,,TRUE,Molded Breaker
242,,CKB08462,exact,MoldedBreaker,"3P,225A,22K/240V,GE,LUGS           ",,Active,14,,TRUE,Molded Breaker
243,,CKB08564,exact,MoldedBreaker,"3P125A,480V,65KAIC,120VST,1A/1B AUX",,Active,14,,TRUE,Molded Breaker
244,,CKB08579,exact,MoldedBreaker,"3P, 400A, 600V, 100KAIC, SQD NT    ",,Active,14,,TRUE,Molded Breaker
245,,CKB08591,exact,MoldedBreaker,"SQD,3P,125A,600V,100KAIC,120VAC ST ",,Active,14,,TRUE,Molded Breaker
246,,CKB08605,exact,MoldedBreaker,"SQD,3P,500A,600V,65KAIC MHL FRAME  ",,Active,14,,TRUE,Molded Breaker
247,,CKB08609,exact,MoldedBreaker,"3P,225A,600V,65KAIC @ 240V, NT     ",,Active,14,,TRUE,Molded Breaker
248,,CKB08697,exact,MoldedBreaker,"GE,MC,150A,240V,3P,22KAIC, W/LUGS  ",,Active,14,,TRUE,Molded Breaker
249,,CKB08793,exact,MoldedBreaker,"SQD, 3P200A,600V @ 100KA1C,W/120VST",,Active,14,,TRUE,Molded Breaker
250,,CKB08916,exact,MoldedBreaker,"3P,600V,400A,100% RATED,MG,NT      ",,Active,14,,TRUE,Molded Breaker
251,,CKB08917,exact,MoldedBreaker,"ABB,3P,600V, 1000A, 100% RATED     ",,Active,14,,TRUE,Molded Breaker
252,,CKB08994,exact,MoldedBreaker,"3P, 50A, 480V, 120V ST, AUX        ",,Active,14,,TRUE,Molded Breaker
253,,CKB09116,exact,MoldedBreaker,"3P,100A,240V,FA FRAME (I-LINE PB)  ",,Active,14,,TRUE,Molded Breaker
254,,CKB09285,exact,MoldedBreaker,"SQD, 3P, 100A, 480V, AX, 24VDC ST  ",,Active,14,,TRUE,Molded Breaker
255,,CKB09286,exact,MoldedBreaker,"SQD,3P,250A,65KAIC,480V,24VDC ST   ",,Active,14,,TRUE,Molded Breaker
256,,CKB09306,exact,MoldedBreaker,"SQ.D,3P,100A,22K,24VDC ST,AX 1a/1b ",,Active,14,,TRUE,Molded Breaker
257,,CKB09381,exact,MoldedBreaker,"SQD, 125A, 3P, 480V, 48VDC ST      ",,Active,14,,TRUE,Molded Breaker
258,,CKB09383,exact,MoldedBreaker,"SQD, 50A, 3P, 480V, 48VDC ST       ",,Active,14,,TRUE,Molded Breaker
259,,CKB09408,exact,MoldedBreaker,"3P,225A,600V,KA FRAME (I-LINE PB)  ",,Active,14,,TRUE,Molded Breaker
260,,CKB09419,exact,MoldedBreaker,"3P,1000A,25k/600V,SQD,80%,DRAWOUT",,Active,14,,TRUE,Molded Breaker
261,,CKB09428,exact,MoldedBreaker,"SQD-JLL,3P,200A,480V,100KAIC,120VST",,Active,14,,TRUE,Molded Breaker
262,,CKB09495,exact,MoldedBreaker,"3P,30A,480V,AIC22K,MX10,NT         ",,Active,14,,TRUE,Molded Breaker
263,,CKB09714,exact,MoldedBreaker,"3P,150A,600V, J-FRAME (I-LINE PB)  ",,Active,14,,TRUE,Molded Breaker
264,,CKB09715,exact,MoldedBreaker,"3P,225A,14k/600V,SQD,80%,I-LINE",,Active,14,,TRUE,Molded Breaker
265,,CKB09734,exact,MoldedBreaker,"3P700A,600V,AIC22K,MX10,NT         ",,Active,14,,TRUE,Molded Breaker
266,,CKB09775,exact,MoldedBreaker,"3P,225A,600V,SQD,3P, W/BASE",,Active,14,,TRUE,Molded Breaker
267,,CKB09781,exact,MoldedBreaker,"SQ D, 125A, 3P, 65K@480V, H FRAME  ",,Active,14,,TRUE,Molded Breaker
268,,CKB09822,exact,MoldedBreaker,"3P,80A,600V,AIC22K,MX10,NT,KAL     ",,Active,14,,TRUE,Molded Breaker
269,,CKB10101,exact,MoldedBreaker,"SQD,LIL,3P, 450A,100KAIC @ 600V,NT ",,Active,14,,TRUE,Molded Breaker
270,,CKB10150,exact,MoldedBreaker,"SQD,3P,225A,MC,PLUG-IN CKB W/O BASE",,Active,14,,TRUE,Molded Breaker
271,,CKB10154,exact,MoldedBreaker,"MG,3P,400A,MOLDED CASE CKB,W/BASE  ",,Active,14,,TRUE,Molded Breaker
272,,CKB10157,exact,MoldedBreaker,"SQD-JGL,3P,250A,600V,120VST,X2 AUX ",,Active,14,,TRUE,Molded Breaker
273,,CKB10158,exact,MoldedBreaker,"3P,225A,18k/600V,SQD,80%,Lugs",,Active,14,,TRUE,Molded Breaker
274,,CKB10158T,exact,MoldedBreaker,"SQD-JGL,3P,225A,600V,18kAIC,TESTED ",,Active,14,,TRUE,Molded Breaker
275,,CKB10263,exact,MoldedBreaker,"3P, 400A, 240V, SQ-D, Q4L, L-FRAME ",,Active,14,,TRUE,Molded Breaker
276,,CKB10328,exact,MoldedBreaker,"GE,400A,3P,35K@480V                ",,Active,14,,TRUE,Molded Breaker
277,,CKB10338,exact,MoldedBreaker,"SQD-JDL,3P,225A,480V,18kAIC,W/ALARM",,Active,14,,TRUE,Molded Breaker
278,,CKB10420,exact,MoldedBreaker,"3P,250A,600V,SQD,3P,SWT,W/ BASE",2014,Obsoleted,14,,FALSE,Molded Breaker overlaps with Obsolete
279,,CKB10480,exact,MoldedBreaker,"SQD-JGL,3P,250A,600V,18kAIC,120VST ",,Active,14,,TRUE,Molded Breaker
280,,CKB10512,exact,MoldedBreaker,"SQD-JLL,3P,200A,480V,100kAIC,ST,AUX",,Active,14,,TRUE,Molded Breaker
281,,CKB10518,exact,MoldedBreaker,"3P,400A,22k/600V,SQD,I-LINE",,Active,14,,TRUE,Molded Breaker
282,,CKB10521,exact,MoldedBreaker,"SQD-HGL,3P,70A,600V,18kAIC,120VST  ",,Active,14,,TRUE,Molded Breaker
283,,CKB10523,exact,MoldedBreaker,"SQD-JGL,3P,250A,600V,18kAIC,ST,AUX ",,Active,14,,TRUE,Molded Breaker
284,,CKB10529,exact,MoldedBreaker,"3P,250A,65k/480V,SQD,80%,Lugs",,Active,14,,TRUE,Molded Breaker
285,,CKB10550,exact,MoldedBreaker,"3P,250A,65k/480V,SQD,80%,Lugs",,Active,14,,TRUE,Molded Breaker
286,,CKB10551,exact,MoldedBreaker,"SQD-JJL,3P,250A,480V,65kAIC,120VST ",,Active,14,,TRUE,Molded Breaker
287,,CKB10556,exact,MoldedBreaker,"MG,3P,400A,MLDCSE CB,W/BSE,AUX,ALRM",,Active,14,,TRUE,Molded Breaker
288,,CKB10648,exact,MoldedBreaker,"SQD-HGL,3P,100A,600V,18kAIC,120VST ",,Active,14,,TRUE,Molded Breaker
289,,CKB10773,exact,MoldedBreaker,"GE,MC,175A,240V,3P,22KAIC, W/LUGS  ",,Active,14,,TRUE,Molded Breaker
290,,CKB10794,exact,MoldedBreaker,"SQD,3P,600V,400AF,225AT, FIX MOUNT ",,Active,14,,TRUE,Molded Breaker
291,,CKB10858,exact,MoldedBreaker,"SQD,3P,225A,MISCRIT,PLG-N CKB W/BSE",,Active,14,,TRUE,Molded Breaker
292,,CKB10864,exact,MoldedBreaker,"SQD-JLL,3P,175A,480V,100kAIC,120VST",,Active,14,,TRUE,Molded Breaker
293,,CKB10876,exact,MoldedBreaker,SQD 100A QOU NON-AUTO SWT 3P 240V  ,,Active,14,,TRUE,Molded Breaker
294,,CKB10902,exact,MoldedBreaker,"SQD-HGL,3P,110A,600V,18kAIC,120VST ",,Active,14,,TRUE,Molded Breaker
295,,CKB10906,exact,MoldedBreaker,"SQD,3P,125A,MC,PLUG-IN CKB W/BASE  ",,Active,14,,TRUE,Molded Breaker
296,,CKB10946,exact,MoldedBreaker,"3P,400A,SQD-D-CKB,W/BSE -> OBSOLETE",,Active,14,,TRUE,Molded Breaker
297,,CKB10953,exact,MoldedBreaker,"SQD,3P,400F,250A,LE FRAME, I-LINE  ",,Active,14,,TRUE,Molded Breaker
298,,CKB10956,exact,MoldedBreaker,"SQD,3P,400A,LE FRAME,I-LINE CKB    ",,Active,14,,TRUE,Molded Breaker
299,,CKB10959,exact,MoldedBreaker,"SQD,3P,500A,480V,200KAIC,LIL FRAME ",,Active,14,,TRUE,Molded Breaker
300,,CKB10969,exact,MoldedBreaker,"SQD, HGN,3P,100 AMP, PLUG-IN       ",,Active,14,,TRUE,Molded Breaker
301,,CKB10970,exact,MoldedBreaker,"SQD-JGL,3P,175A,600V,18kAIC, W/TERM",,Active,14,,TRUE,Molded Breaker
302,,CKB10990,exact,MoldedBreaker,"3P,250A,18k/600V,SQD,80%,Lugs",,Active,14,,TRUE,Molded Breaker
303,,CKB10995,exact,MoldedBreaker,"SQD-JGL,3P,225A,600V,18kAIC,ALM-AUX",,Active,14,,TRUE,Molded Breaker
304,,CKB11023,exact,MoldedBreaker,"PLGN KIT,T5,400A/3P,ABB,MOVE",,Active,14,,TRUE,Molded Breaker
305,,CKB11024,exact,MoldedBreaker,"PLGN KIT,T5,400A/3P,ABB,FIXED",,Active,14,,TRUE,Molded Breaker
306,,CKB11099,exact,MoldedBreaker,"SQD-JGN,3P,225A,PLGN W/BASE-ALM-AUX",,Active,14,,TRUE,Molded Breaker
307,,CKB11103,exact,MoldedBreaker,"3P,600A,42k/600V,ABB,100%,Lugs",,Active,14,,TRUE,Molded Breaker
308,,CKB11107,exact,MoldedBreaker,"PLGN KIT,T6,3P,ABB,DRAW-OUT,MOVE",,Active,14,,TRUE,Molded Breaker
309,,CKB11108,exact,MoldedBreaker,"PLGN KIT,T6,3P,ABB,DRAW-OUT,FIXED",,Active,14,,TRUE,Molded Breaker
310,,CKB11112,exact,MoldedBreaker,"PLGN KIT,T4,3P,ABB",,Active,14,,TRUE,Molded Breaker
311,,CKB11115,exact,MoldedBreaker,"3P,225A,14k/600V,SQD,100%,Lugs",,Active,14,,TRUE,Molded Breaker
312,,CKB11117,exact,MoldedBreaker,"SQD-LAMC,3P,400A,480V,I-LINE W/BELL",,Active,14,,TRUE,Molded Breaker
313,,CKB11118,exact,MoldedBreaker,"SQD-LC,3P,600A,600V,I-LINE W/BELL  ",,Active,14,,TRUE,Molded Breaker
314,,CKB11119,exact,MoldedBreaker,"SQD-LA,3P,225A,600V,I-LINE W/BELL  ",,Active,14,,TRUE,Molded Breaker
315,,CKB11120,exact,MoldedBreaker,"SQD-HGA,3P,50A,600V,I-LINE W/BELL  ",,Active,14,,TRUE,Molded Breaker
316,,CKB11155,exact,MoldedBreaker,"PLGN KIT,T3,3P,ABB,FRT TERM,MOVING",,Active,14,,TRUE,Molded Breaker
317,,CKB11156,exact,MoldedBreaker,"PLGN KIT,T3,3P,ABB,FRT TERM,FIXED",,Active,14,,TRUE,Molded Breaker
318,,CKB11171,exact,MoldedBreaker,"SQD-HGL,3P,50A,600V,18kAIC,NT      ",,Active,14,,TRUE,Molded Breaker
319,,CKB11172,exact,MoldedBreaker,"SQD-HGL,3P,80A,600V,18kAIC,NT      ",,Active,14,,TRUE,Molded Breaker
320,,CKB11179,exact,MoldedBreaker,"GE,MC,100A,240V,3P,22KAIC, W/LUGS  ",,Active,14,,TRUE,Molded Breaker
321,,CKB11275,exact,MoldedBreaker,"SQD-JJL,3P,175A,480V,65kAIC,       ",,Active,14,,TRUE,Molded Breaker
322,,CKB11376,exact,MoldedBreaker,"SQD,3P,250A,PLG-N W/BASE-AX-BEL-LSI",,Active,14,,TRUE,Molded Breaker
323,,CKB11389,exact,MoldedBreaker,"SQD-JDL,3P,225A,480V,18kAIC,W/AUX  ",,Active,14,,TRUE,Molded Breaker
324,,CKB11416,exact,MoldedBreaker,"3P,225A,18k/480V,SQD,80%,Lugs",2014,Obsoleted,14,,FALSE,Molded Breaker overlaps with Obsolete
325,,CKB11418,exact,MoldedBreaker,"SQD-HDA,3P,80A,240V,25kAIC,I-LINE  ",,Active,14,,TRUE,Molded Breaker
326,,CKB11421,exact,MoldedBreaker,"SQD-DGL,3P,250AF,LSI-TRIP,AUX,BELL ",,Active,14,,TRUE,Molded Breaker
327,,CKB11422,exact,MoldedBreaker,"SQD-DJL,3P,400AF,120VST,AUX,LSI,65K",2014,Obsoleted,14,,FALSE,Molded Breaker overlaps with Obsolete
328,,CKB11547,exact,MoldedBreaker,"SQD-DGL,3P,150AF,600V,LS-TRIP,     ",2014,Obsoleted,14,,FALSE,Molded Breaker overlaps with Obsolete
329,,CKB11572,exact,MoldedBreaker,"3P,800A,35k/600V,ABB,Lugs",2014,Obsoleted,14,,FALSE,Molded Breaker overlaps with Obsolete
330,,CKB11579,exact,MoldedBreaker,"SQD-MGL,3P,800A,480V,35KAIC,E-TRIP ",,Active,14,,TRUE,Molded Breaker
331,,CKB11580,exact,MoldedBreaker,"SQD,3P,250A,MC,PLUG-IN CKB W/BASE  ",,Active,14,,TRUE,Molded Breaker
332,,CKB11581,exact,MoldedBreaker,"3P,200A,600V, J-FRAME (I-LINE PB)  ",,Active,14,,TRUE,Molded Breaker
333,,CKB11582,exact,MoldedBreaker,"3P,225A,18k/600V,SQD,100%,Lugs",,Active,14,,TRUE,Molded Breaker
334,,CKB11583,exact,MoldedBreaker,"SQD,3P,225A,100% PLGN CKB W/BSE,ST ",,Active,14,,TRUE,Molded Breaker
335,,CKB11584,exact,MoldedBreaker,"3P,600A,65k/480V,ABB,100%,Lugs",,Active,14,,TRUE,Molded Breaker
336,,CKB11586,exact,MoldedBreaker,"TERM CVRS,T6,3P,ABB,LO PRO (2)",,Active,14,,TRUE,Molded Breaker
337,,CKB11616,exact,MoldedBreaker,"SQD-DGL,3P,400AF,LS-TRIP,120VST    ",,Active,14,,TRUE,Molded Breaker
338,,CKB11618,exact,MoldedBreaker,"SQD-JJL,3P,225A,480V,65KAIC,120VST ",2014,Obsoleted,14,,FALSE,Molded Breaker overlaps with Obsolete
339,,CKB11620,exact,MoldedBreaker,"SQD-DJL,3P,400AF,LS,65K,100% RATED ",,Active,14,,TRUE,Molded Breaker
340,,CKB11623,exact,MoldedBreaker,"SQD,3P,225A,MC,PLGN CB W/BSE 2 AUX ",2014,Obsoleted,14,,FALSE,Molded Breaker overlaps with Obsolete
341,,CKB11624,exact,MoldedBreaker,"3P,225A,600V,SQD,3P,W/BASE ST",,Active,14,,TRUE,Molded Breaker
342,,CKB11625,exact,MoldedBreaker,"SQD,3P 225A,MC,PLGN CB W/BSE AUX ST",,Active,14,,TRUE,Molded Breaker
343,,CKB11633,exact,MoldedBreaker,"SQD,3P,300A,CKB,LA FRAME, I-LINE   ",,Active,14,,TRUE,Molded Breaker
344,,CKB11634,exact,MoldedBreaker,"SQD-HGL,3P,60A,600V,18kAIC,ST,AUX  ",,Active,14,,TRUE,Molded Breaker
345,,CKB11640,exact,MoldedBreaker,"ABB LUG KIT, T5-3P (2) 3/0-250MCM  ",,Active,14,,TRUE,Molded Breaker
346,,CKB11643,exact,MoldedBreaker,"GE-FGN,3P,400AF,600V,65KAIC @ 480V ",,Active,14,,TRUE,Molded Breaker
347,,CKB11651,exact,MoldedBreaker,"3P,600A,100k/600V,GE,Lugs",,Active,14,,TRUE,Molded Breaker
348,,CKB11652,exact,MoldedBreaker,"GE-SGDA,3P,400AF,240V, MCCB",,Active,14,,TRUE,Molded Breaker
349,,CKB11658,exact,MoldedBreaker,"LUG KIT,G-FRM,GE,FRT CONN,3P",,Active,14,,TRUE,Molded Breaker
350,,CKB11660,exact,MoldedBreaker,"PLG,RATING,3P,225A,G-FRM,GE,600V",,Active,14,,TRUE,Molded Breaker
351,,CKB11661,exact,MoldedBreaker,"ABB-S7,3P,1200AF,600V,50kAIC,LSI   ",,Active,14,,TRUE,Molded Breaker
352,,CKB11662,exact,MoldedBreaker,"ABB-S6,3P,800AF,600V,25kAIC,LSI    ",,Active,14,,TRUE,Molded Breaker
353,,CKB11675,exact,MoldedBreaker,"SQD-JGL,3P,150A,600V,18kAIC,W/C TER",,Active,14,,TRUE,Molded Breaker
354,,CKB11691,exact,MoldedBreaker,"3P,250A,600V,SQD,3P,SWT,BASE,2AUX",,Active,14,,TRUE,Molded Breaker
355,,CKB11751,exact,MoldedBreaker,"SQD-HGA,3P,70A,600V,18kAIC,I-LINE  ",,Active,14,,TRUE,Molded Breaker
356,,CKB11767,exact,MoldedBreaker,"PLG,RATING,3P,125A,E-FRM,GE,600V   ",,Active,14,,TRUE,Molded Breaker
357,,CKB11777,exact,MoldedBreaker,"3P,400A,/600V,SQD",,Active,14,,TRUE,Molded Breaker
358,,CKB11780,exact,MoldedBreaker,"SQD-LCL,3P,450A,480V,65kAIC,BELL AL",,Active,14,,TRUE,Molded Breaker
359,,CKB11820,exact,MoldedBreaker,"SQD-DGL,3P,250AF,600V,LS-TRIP,     ",,Active,14,,TRUE,Molded Breaker
360,,CKB11932,exact,MoldedBreaker,"TERM CVRS,T4,3P,ABB,LO PRO (2)",2014,Obsoleted,14,,FALSE,Molded Breaker overlaps with Obsolete
361,,CKB11937,exact,MoldedBreaker,"SQD-LIL,3P,350A,600V,100KAIC       ",,Active,14,,TRUE,Molded Breaker
362,,CKB11996,exact,MoldedBreaker,"ABB-T5,3P,400A,480V,65kAIC, T/M    ",,Active,14,,TRUE,Molded Breaker
363,,CKB12037,exact,MoldedBreaker,"3P,225A,18k/600V,SQD,80%,I-LINE",,Active,14,,TRUE,Molded Breaker
364,,CKB12063,exact,MoldedBreaker,"SQD-JGA,3P,250A,600V, (I-LINE PB)  ",,Active,14,,TRUE,Molded Breaker
365,,CKB12083,exact,MoldedBreaker,"3P,250A,18k/600V,SQD,100%,Lugs",,Active,14,,TRUE,Molded Breaker
366,,CKB12084,exact,MoldedBreaker,"3P,250A,100K/480V,SQD,LUGS",,Active,14,,TRUE,Molded Breaker
367,,CKB12095,exact,MoldedBreaker,"SQD-DLL,3P,400A,480V,100KAIC,100%  ",,Active,14,,TRUE,Molded Breaker
368,,CKB12101,exact,MoldedBreaker,"SQD-HGA,3P,125A,600V, (I-LINE PB)  ",2014,Obsoleted,14,,FALSE,Molded Breaker overlaps with Obsolete
369,,CKB12139,exact,MoldedBreaker,"ABB-T5,3P,400A,480V,65kAIC, E-TRIP ",,Active,14,,TRUE,Molded Breaker
370,,CKB12153,exact,MoldedBreaker,"SQD-HJL,3P,50A,480V,65kAIC,120VST  ",,Active,14,,TRUE,Molded Breaker
371,,CKB12183,exact,MoldedBreaker,"3P,400A,D-FRAME-MLD CSE SWT,W/BASE ",,Active,14,,TRUE,Molded Breaker
372,,CKB12189,exact,MoldedBreaker,"GE,MC,225A,240V,3P,22KAIC, W/LG,ST ",,Active,14,,TRUE,Molded Breaker
373,,CKB12216,exact,MoldedBreaker,"CKB,3P,PLUG-N KIT,D-FRAME,400A,SQD ",,Active,14,,TRUE,Molded Breaker
374,,CKB12246,exact,MoldedBreaker,"SQD, LI, 400A, 3P W/BELL ALARM     ",,Active,14,,TRUE,Molded Breaker
375,,CKB12277,exact,MoldedBreaker,"SQD-QDA,3P,225A,240V, (I-LINE PB)  ",,Active,14,,TRUE,Molded Breaker
376,,CKB12293,exact,MoldedBreaker,"SQD-DJL,3P,600AF,480V,65KAIC,CB,E20",,Active,14,,TRUE,Molded Breaker
377,,CKB12305,exact,MoldedBreaker,"SQD-HGA,3P,100A (I-LINE PB)        ",2014,Obsoleted,14,,FALSE,Molded Breaker overlaps with Obsolete
378,,CKB12365,exact,MoldedBreaker,"3P,600A,35k/480V,SQD,80%,Lugs",,Active,14,,TRUE,Molded Breaker
379,,CKB12473,exact,MoldedBreaker,"SIEMENS VL-NJG,3P,400A,600V,LI TRIP",,Active,14,,TRUE,Molded Breaker
380,,CKB12474,exact,MoldedBreaker,"SIEMENS VL-NMY,3P,800A,600V, 100%  ",,Active,14,,TRUE,Molded Breaker
381,,CKB12576,exact,MoldedBreaker,"ABB-T7,3P,1000AF,600V,25kAIC,100%  ",,Active,14,,TRUE,Molded Breaker
382,,CKB12687,exact,MoldedBreaker,"SIEMENS VL-NJG,3P,250A CKB W/LUGS  ",,Active,14,,TRUE,Molded Breaker
383,,CKB12712,exact,MoldedBreaker,"SQD-LIL,3P,300A,600V,100KAIC       ",,Active,14,,TRUE,Molded Breaker
384,,CKB12774,exact,MoldedBreaker,"PLGN KIT,T4,3P,ABB,EXT FRT TERM/FIX",,Active,14,,TRUE,Molded Breaker
385,,CKB12779,exact,MoldedBreaker,"3P,250A,65k/480V,ABB,Lugs",,Active,14,,TRUE,Molded Breaker
386,,CKB12782,exact,MoldedBreaker,"TERM CVRS,T5,3P,ABB,LO PRO (2)",,Active,14,,TRUE,Molded Breaker
387,,CKB12848,exact,MoldedBreaker,"SQD,3P,150A,MC,PLUG-IN CKB W/BASE  ",,Active,14,,TRUE,Molded Breaker
388,,CKB12872,exact,MoldedBreaker,"SQD-DJL,3P,600AF,480V,65KAIC,CB,E53",,Active,14,,TRUE,Molded Breaker
389,,CKB12953,exact,MoldedBreaker,"SQD-LAL,3P,400A,600V,22KAIC,NO CTAP",2014,Obsoleted,14,,FALSE,Molded Breaker overlaps with Obsolete
390,,CKB13047,exact,MoldedBreaker,"3P,400A,25k/480V,ABB,Lugs",,Active,14,,TRUE,Molded Breaker
391,,CKB13052,exact,MoldedBreaker,"ABB-T5,3P,PLUG-IN KIT VERT REAR BUS",,Active,14,,TRUE,Molded Breaker
392,,CKB13054,exact,MoldedBreaker,"3P,225A,25k/480V,ABB,Lugs",,Active,14,,TRUE,Molded Breaker
393,,CKB13065,exact,MoldedBreaker,"SWT,SQD,3P,1600A,AUX, 24-30V ST",,Active,14,,TRUE,Molded Breaker
394,,CKB13066,exact,MoldedBreaker,"CRADLE FOR CKB13065,SQD,3P,1600A",,Active,14,,TRUE,Molded Breaker
395,,CKB13067,exact,MoldedBreaker,"DRAWOUT SWT,SQD,3P,1600A, AUX",,Active,14,,TRUE,Molded Breaker
396,,CKB13072,exact,MoldedBreaker,"3P,700A,65k/480V,SQD,80%,Lugs",,Active,14,,TRUE,Molded Breaker
397,,CKB13076,exact,MoldedBreaker,"SQD-DGP,3P,250AF,600V,LS-TRIP,     ",,Active,14,,TRUE,Molded Breaker
